,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_discriminator_dim,params_embedding_dim,params_epochs,params_generator_dim,params_learning_rate,state
14,14,0.09142449999999991,2024-12-18 16:44:48.524705,2024-12-18 16:45:31.082545,0 days 00:00:42.557840,96,"128,128",256,16,"256,256",0.0012983865514439837,COMPLETE
15,15,-2.4629375000000002,2024-12-18 16:45:31.083048,2024-12-18 16:46:14.145062,0 days 00:00:43.062014,96,"128,128",256,12,"128,256,128",0.0013669364212520326,COMPLETE
16,16,-0.2236395,2024-12-18 16:46:14.145677,2024-12-18 16:46:57.249699,0 days 00:00:43.104022,96,"128,128",256,18,"128,128",0.00016581057593995823,COMPLETE
17,17,0.139536,2024-12-18 16:46:57.250371,2024-12-18 16:47:40.221408,0 days 00:00:42.971037,96,"128,128",384,16,"128,256,128",0.0008165418919760676,COMPLETE
18,18,0.18485549999999995,2024-12-18 16:47:40.221900,2024-12-18 16:48:23.663606,0 days 00:00:43.441706,64,"256,256",320,10,"128,128",0.0052679758016333286,COMPLETE
19,19,-4.022336999999999,2024-12-18 16:48:23.664183,2024-12-18 16:49:05.773687,0 days 00:00:42.109504,128,"128,128",192,14,"256,256",0.000186415836099686,COMPLETE
20,20,-1.0618955,2024-12-18 16:49:05.774185,2024-12-18 16:49:46.558827,0 days 00:00:40.784642,192,"128,128",192,18,"128,256,128",6.719115523590494e-05,COMPLETE
21,21,0.0064109999999999445,2024-12-18 16:49:46.559334,2024-12-18 16:50:28.707462,0 days 00:00:42.148128,160,"128,256,128",448,18,"128,128",0.0008016962333686659,COMPLETE
22,22,0.454001,2024-12-18 16:50:28.707992,2024-12-18 16:51:10.145026,0 days 00:00:41.437034,160,"128,256,128",384,20,"128,128",0.0006474576331853846,COMPLETE
23,23,-0.02120999999999995,2024-12-18 16:51:10.145507,2024-12-18 16:51:52.391396,0 days 00:00:42.245889,192,"256,256",384,20,"128,128",0.002740527655032824,COMPLETE
24,24,-0.717923,2024-12-18 16:51:52.391938,2024-12-18 16:52:34.638070,0 days 00:00:42.246132,128,"128,128",320,16,"128,128",0.0007126019872710932,COMPLETE
25,25,-1.4443285000000001,2024-12-18 16:52:34.638587,2024-12-18 16:53:19.503884,0 days 00:00:44.865297,96,"128,256,128",256,20,"128,128",0.001659366197031854,COMPLETE
26,26,-0.38355149999999993,2024-12-18 16:53:19.504428,2024-12-18 16:54:04.782909,0 days 00:00:45.278481,128,"128,128",384,18,"128,128",0.0002675354952213252,COMPLETE
27,27,-0.38484450000000003,2024-12-18 16:54:04.783470,2024-12-18 16:54:51.257590,0 days 00:00:46.474120,192,"128,256,128",320,14,"128,128",0.0010737534064563313,COMPLETE
28,28,-0.6659735,2024-12-18 16:54:51.258169,2024-12-18 16:55:32.954298,0 days 00:00:41.696129,96,"256,256",384,10,"256,256",1.076552571075749e-05,COMPLETE
29,29,-0.06922600000000001,2024-12-18 16:55:32.954853,2024-12-18 16:56:18.140784,0 days 00:00:45.185931,160,"128,128",448,16,"128,256,128",0.00039727929599477725,COMPLETE
30,30,-1.561563,2024-12-18 16:56:18.141479,2024-12-18 16:57:11.709694,0 days 00:00:53.568215,160,"128,256,128",512,20,"128,128",0.00012310530769596336,COMPLETE
31,31,0.7842795,2024-12-18 16:57:11.710342,2024-12-18 16:58:02.027180,0 days 00:00:50.316838,160,"128,256,128",448,18,"128,128",0.0006399008456691101,COMPLETE
32,32,0.22354300000000005,2024-12-18 16:58:02.027655,2024-12-18 16:58:49.978728,0 days 00:00:47.951073,128,"128,256,128",384,18,"128,128",0.00057851106373955,COMPLETE
33,33,-0.032973,2024-12-18 16:58:49.979282,2024-12-18 16:59:35.001460,0 days 00:00:45.022178,160,"128,256,128",448,18,"128,128",0.00025308806624160535,COMPLETE
34,34,-1.579906,2024-12-18 16:59:35.002024,2024-12-18 17:00:22.110451,0 days 00:00:47.108427,224,"128,256,128",448,20,"128,128",0.003572363966847182,COMPLETE
35,35,-0.19174900000000006,2024-12-18 17:00:22.110945,2024-12-18 17:01:10.413020,0 days 00:00:48.302075,256,"128,256,128",512,16,"128,128",0.0009572223322980297,COMPLETE
36,36,-3.2530930000000002,2024-12-18 17:01:10.414003,2024-12-18 17:01:56.925093,0 days 00:00:46.511090,128,"128,256,128",320,12,"128,256,128",0.002223075569184313,COMPLETE
37,37,-0.604981,2024-12-18 17:01:56.925624,2024-12-18 17:02:39.312482,0 days 00:00:42.386858,192,"128,128",448,14,"128,128",0.0003234883245975752,COMPLETE
38,38,-10.362328999999999,2024-12-18 17:02:39.313134,2024-12-18 17:03:21.621194,0 days 00:00:42.308060,128,"128,256,128",384,6,"256,256",0.009795879506969519,COMPLETE
39,39,-0.5252255,2024-12-18 17:03:21.621767,2024-12-18 17:04:04.939976,0 days 00:00:43.318209,160,"256,256",448,18,"128,256,128",9.834225380222933e-05,COMPLETE
40,40,-0.1594399999999998,2024-12-18 17:04:04.940713,2024-12-18 17:04:48.649127,0 days 00:00:43.708414,64,"128,256,128",512,20,"128,128",0.0005909756600458607,COMPLETE
41,41,-0.16630299999999998,2024-12-18 17:04:48.650000,2024-12-18 17:05:29.664011,0 days 00:00:41.014011,160,"128,256,128",448,18,"128,128",0.00035771471783231597,COMPLETE
42,42,-0.3213015,2024-12-18 17:05:29.664604,2024-12-18 17:06:14.177846,0 days 00:00:44.513242,128,"128,256,128",512,16,"128,128",0.00022781281984728544,COMPLETE
43,43,-0.6574930000000001,2024-12-18 17:06:14.178355,2024-12-18 17:06:54.903838,0 days 00:00:40.725483,192,"128,256,128",384,14,"128,128",0.000494907434665697,COMPLETE
44,44,-1.7560470000000001,2024-12-18 17:06:54.904331,2024-12-18 17:07:38.175254,0 days 00:00:43.270923,160,"128,256,128",448,20,"128,256,128",0.0014324219716812005,COMPLETE
45,45,0.4796855,2024-12-18 17:07:38.175732,2024-12-18 17:08:18.828714,0 days 00:00:40.652982,128,"128,128",128,18,"128,128",0.0006339491847819022,COMPLETE
46,46,-1.5668765000000002,2024-12-18 17:08:18.829262,2024-12-18 17:09:01.949009,0 days 00:00:43.119747,96,"128,128",128,18,"128,128",0.0006657306400103685,COMPLETE
47,47,-2.382681,2024-12-18 17:09:01.949539,2024-12-18 17:09:43.378609,0 days 00:00:41.429070,128,"128,128",192,16,"128,128",0.0010137801033951101,COMPLETE
48,48,-17.025783500000003,2024-12-18 17:09:43.379092,2024-12-18 17:10:25.805463,0 days 00:00:42.426371,96,"128,128",128,20,"256,256",0.001744932646835421,COMPLETE
49,49,-6.2732195,2024-12-18 17:10:25.806073,2024-12-18 17:11:06.718752,0 days 00:00:40.912679,128,"128,128",256,12,"128,256,128",0.003784698716768381,COMPLETE
