,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_discriminator_dim,params_embedding_dim,params_epochs,params_generator_dim,params_learning_rate,state
15,15,-0.333526,2024-12-10 10:47:41.970363,2024-12-10 10:50:12.728601,0 days 00:02:30.758238,128,"128,128",256,800,"256,256",0.0011361101712451136,COMPLETE
16,16,0.05055299999999996,2024-12-10 10:50:12.729962,2024-12-10 10:51:05.633538,0 days 00:00:52.903576,160,"128,128",384,200,"256,256",0.0016810819066068307,COMPLETE
17,17,0.30876800000000004,2024-12-10 10:51:05.634055,2024-12-10 10:54:03.368923,0 days 00:02:57.734868,96,"128,128",256,800,"256,256",0.00031775771587487506,COMPLETE
18,18,-0.11551699999999987,2024-12-10 10:54:03.369487,2024-12-10 10:59:26.657740,0 days 00:05:23.288253,64,"128,256,128",384,1000,"128,256,128",0.00011097814901723302,COMPLETE
19,19,0.2522384999999999,2024-12-10 10:59:26.658266,2024-12-10 11:00:56.211073,0 days 00:01:29.552807,128,"256,256",512,400,"256,256",0.0008545236240289851,COMPLETE
20,20,-0.49550650000000007,2024-12-10 11:00:56.211599,2024-12-10 11:02:12.182566,0 days 00:01:15.970967,192,"128,128",192,400,"128,256,128",0.0016257899696262789,COMPLETE
21,21,0.38339999999999996,2024-12-10 11:02:12.183787,2024-12-10 11:05:29.827128,0 days 00:03:17.643341,64,"128,128",384,600,"128,128",1.9529841859735896e-05,COMPLETE
22,22,0.27260699999999993,2024-12-10 11:05:29.827882,2024-12-10 11:08:50.310672,0 days 00:03:20.482790,64,"128,128",384,600,"128,128",7.600271452626382e-05,COMPLETE
23,23,0.7115849999999999,2024-12-10 11:08:50.311941,2024-12-10 11:12:32.299395,0 days 00:03:41.987454,96,"128,128",320,1000,"256,256",0.0005270787528741198,COMPLETE
24,24,-0.1387814999999999,2024-12-10 11:12:32.299935,2024-12-10 11:16:10.394838,0 days 00:03:38.094903,96,"128,128",320,1000,"256,256",0.0005362519226083313,COMPLETE
25,25,0.15603999999999996,2024-12-10 11:16:10.395401,2024-12-10 11:19:43.423543,0 days 00:03:33.028142,96,"128,128",320,1000,"256,256",0.00018771332328023198,COMPLETE
26,26,0.09830650000000007,2024-12-10 11:19:43.424521,2024-12-10 11:22:33.226840,0 days 00:02:49.802319,160,"128,128",256,1400,"256,256",0.002962406711846308,COMPLETE
27,27,0.44372599999999995,2024-12-10 11:22:33.227531,2024-12-10 11:24:53.971591,0 days 00:02:20.744060,128,"128,128",448,800,"256,256",0.00046370660862829656,COMPLETE
28,28,0.05894900000000014,2024-12-10 11:24:53.972083,2024-12-10 11:29:37.432830,0 days 00:04:43.460747,96,"256,256",256,1400,"256,256",0.00020322201616402287,COMPLETE
29,29,0.30100099999999996,2024-12-10 11:29:37.433684,2024-12-10 11:32:07.400274,0 days 00:02:29.966590,64,"128,256,128",320,400,"128,256,128",5.330396954547415e-05,COMPLETE
30,30,-0.6440575,2024-12-10 11:32:07.404772,2024-12-10 11:33:13.390912,0 days 00:01:05.986140,128,"128,256,128",320,200,"256,256",0.009894664041574837,COMPLETE
31,31,0.6555305,2024-12-10 11:33:13.391438,2024-12-10 11:36:14.864941,0 days 00:03:01.473503,64,"128,128",384,600,"128,128",1.691640910337973e-05,COMPLETE
32,32,0.5962684999999999,2024-12-10 11:36:14.865613,2024-12-10 11:39:15.783795,0 days 00:03:00.918182,96,"128,128",384,800,"128,128",2.691975016753777e-05,COMPLETE
33,33,-0.4133509999999998,2024-12-10 11:39:15.784627,2024-12-10 11:42:47.459120,0 days 00:03:31.674493,64,"128,128",448,600,"128,256,128",0.0010017616672230037,COMPLETE
34,34,0.3772230000000001,2024-12-10 11:42:47.459752,2024-12-10 11:47:19.318263,0 days 00:04:31.858511,96,"128,128",384,1200,"128,128",0.00013648309361486604,COMPLETE
35,35,0.7159024999999999,2024-12-10 11:47:19.318951,2024-12-10 11:51:01.832134,0 days 00:03:42.513183,96,"128,128",448,1000,"128,256,128",6.124157681652031e-05,COMPLETE
36,36,0.3360255,2024-12-10 11:51:01.832902,2024-12-10 11:56:01.765116,0 days 00:04:59.932214,96,"128,256,128",448,1400,"128,256,128",6.447995135333993e-05,COMPLETE
37,37,0.2997329999999999,2024-12-10 11:56:01.765636,2024-12-10 11:59:44.034691,0 days 00:03:42.269055,96,"128,128",512,1000,"128,256,128",0.0002830190819321344,COMPLETE
38,38,0.262799,2024-12-10 11:59:44.036140,2024-12-10 12:02:50.252631,0 days 00:03:06.216491,128,"256,256",448,1200,"128,256,128",4.088884886417729e-05,COMPLETE
39,39,0.22158500000000003,2024-12-10 12:02:50.253254,2024-12-10 12:08:07.123358,0 days 00:05:16.870104,96,"128,128",448,1600,"128,256,128",0.0019867507984468228,COMPLETE
40,40,0.019694499999999948,2024-12-10 12:08:07.123871,2024-12-10 12:10:57.286657,0 days 00:02:50.162786,128,"128,128",512,1000,"128,256,128",0.00040523887887920594,COMPLETE
41,41,0.06224200000000013,2024-12-10 12:10:57.289573,2024-12-10 12:13:14.639451,0 days 00:02:17.349878,64,"128,128",320,400,"256,256",0.0007032773646058736,COMPLETE
42,42,0.48280600000000007,2024-12-10 12:13:14.639952,2024-12-10 12:17:15.542806,0 days 00:04:00.902854,64,"128,128",384,800,"128,128",1.5871156994735294e-05,COMPLETE
43,43,0.5328870000000001,2024-12-10 12:17:15.543513,2024-12-10 12:20:40.089767,0 days 00:03:24.546254,64,"128,128",320,600,"128,256,128",2.7333411915552144e-05,COMPLETE
44,44,0.06747799999999993,2024-12-10 12:20:40.090304,2024-12-10 12:24:10.147439,0 days 00:03:30.057135,96,"128,128",448,1000,"256,256",0.00023719028010077173,COMPLETE
45,45,0.32737700000000014,2024-12-10 12:24:10.147939,2024-12-10 12:25:16.756274,0 days 00:01:06.608335,256,"128,128",384,800,"128,128",0.00011404786891213316,COMPLETE
46,46,0.452909,2024-12-10 12:25:16.757044,2024-12-10 12:27:54.973860,0 days 00:02:38.216816,64,"256,256",256,600,"128,256,128",1.2885661223985448e-05,COMPLETE
47,47,0.4949295,2024-12-10 12:27:54.974600,2024-12-10 12:28:59.114364,0 days 00:01:04.139764,192,"128,128",128,400,"256,256",0.0012722460783184677,COMPLETE
48,48,0.4054145,2024-12-10 12:28:59.115286,2024-12-10 12:34:38.672262,0 days 00:05:39.556976,64,"128,256,128",320,1200,"128,256,128",0.00013971084411189917,COMPLETE
49,49,0.6330255,2024-12-10 12:34:38.672819,2024-12-10 12:35:48.411973,0 days 00:01:09.739154,96,"128,128",384,200,"128,128",0.0007142777494019596,COMPLETE
